package_name,desc,long_desc,Depends,Suggests,Imports,Inviews,Version,License,Enhances
acopula,Modelling dependence with multivariate Archimax (or any user-defined continuous) copulas,"Archimax copulas are mixture of Archimedean and EV copulas. The package provides definitions of several parametric families of generator and dependence function, computes CDF and PDF, estimates parameters, tests for goodness of fit, generates random sample and checks copula properties for custom constructs. In 2-dimensional case explicit formulas for density are used, in the contrary to higher dimensions when all derivatives are linearly approximated. Several non-archimax families (normal, FGM, Plackett) are provided as well.",,mvtnorm,,,0.9.2,GPL-2,
aCRM,Convenience functions for analytical Customer Relationship Management,Convenience functions for data preparation and modeling often used in aCRM.,,,"dummies, randomForest, kernelFactory, ada",,0.1.1,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
acs,"Download, manipulate, and present data from the US Census American Community Survey","Provides a general toolkit for downloading, managing, analyzing, and presenting data from the U.S. Census American Community Survey (ACS).  Confidence intervals provided with the data are converted to standard errors to be bundled with estimates in complex acs objects.  Package provides new methods to conduct standard operations and tests of significance on acs objects in statistically appropriate ways. Current version is 1.2 +/- .05.",R (≥ 2.10),,"stringr, methods, plyr, XML",WebTechnologies,1.2,GPL-3,
acss,Algorithmic Complexity for Short Strings,"Main functionality is to provide the algorithmic complexity for short strings, an approximation of the Kolmogorov Complexity of a short string using the coding theorem method (see ?acss). The database containing the complexity is provided in the data only package acss.data, this package provides functions accessing the data such as prob_random returning the probability that a given string was produced by a random process. In addition, two traditional (but problematic) measures of complexity are also provided: entropy and change complexity.","R (≥ 2.15.0), acss.data",,zoo,,0.1-1,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
acss.data,Data Only: Algorithmic Complexity of Short Strings (Computed via Coding Theorem Method),"Data only package providing the algorithmic complexity of short strings, computed using the coding theorem method. For a given set of symbols in a string, all possible or a large number of random samples of Turing machines (TM) with a given number of states (e.g., 5) and number of symbols corresponding to the number of symbols in the strings were simulated until they reached a halting state or failed to end. This package contains data on 4.5 million strings from length 1 to 12 simulated on TMs with 2, 4, 5, 6, and 9 symbols. The complexity of the string corresponds to the distribution of the halting states of the TMs.",R (≥ 2.10),,,,1.0,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
ACTCD,Asymptotic Classification Theory for Cognitive Diagnosis,"This package includes functions used to perform cluster analysis for cognitive diagnosis based on the Asymptotic Classification Theory (Chiu, Douglas & Li, 2009). Given the sample statistic of sum-scores and the item-by-attribute association matrix (Q-matrix; Tatsuoka, 1985), cluster analysis techniques can be used to classify examinees into latent classes based on their attribute patterns. In addition to the algorithms used to classify data, three labeling approaches are proposed to label clusters so that examinees' attribute profiles can be obtained.","R (≥ 2.15.1), R.methodsS3",,,,1.0-0,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
Actigraphy,Actigraphy Data Analysis,This package implements functional linear modeling and analysis for actigraphy data.,"R (≥ 2.14.0), fda, lattice, SDMTools",,,,1.2,GPL-2,
actuar,Actuarial functions,"Additional actuarial science functionality, mostly in the fields of loss distributions, risk theory (including ruin theory), simulation of compound hierarchical models and credibility theory.  The package also features 17 new probability laws commonly used in insurance, most notably heavy tailed distributions.",R (≥ 2.6.0),MASS,"stats, graphics","Distributions, Finance",1.1-6,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
ActuDistns,Functions for actuarial scientists,"Computes the probability density function, hazard rate function, integrated hazard rate function and the quantile function for 44 commonly used survival models","R (≥ 2.15.0), reliaR, actuar, hypergeo",,,Distributions,3.0,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
ada,ada: an R package for stochastic boosting,"Performs discrete, real, and gentle boost under both exponential and logistic loss on a given data set.  The package ada provides a straightforward, well-documented, and broad boosting routine for classification, ideally suited for small to moderate-sized data sets.  Please refer to the Url below for more information.","R (≥ 2.10), rpart",,,,2.0-3,GPL-2 | GPL-3 [expanded from: GPL],
adabag,"Applies multiclass AdaBoost.M1, AdaBoost-SAMME and Bagging","This package implements Freund and Schapire's Adaboost.M1 algorithm and Breiman's Bagging algorithm using classification trees as individual classifiers. Once these classifiers have been trained, they can be used to predict on new data. Also, cross validation predictions can be done. Since version 2.0 the function ""margins"" is available to calculate the margins for these classifiers. Also a higher flexibility is achieved giving access to the ""rpart.control"" argument of ""rpart"". Four important new features were introduced on version 3.0, AdaBoost-SAMME (Zhu et al., 2009) is implemented and a new function ""errorevol"" shows the error of the ensembles as a function of the number of iterations. In addition, the ensembles can be pruned using the option ""newmfinal"" in the predict.bagging and predict.boosting functions and the posterior probability of each class for observations can be obtained. Version 3.1 modifies the relative importance measure to take into account the gain of the Gini index given by a variable in each tree and the weights of these trees.","rpart, mlbench, caret",,,,3.2,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
adagio,Discrete and Global Optimization Routines, The R package 'adagio' will provide methods and algorithms for discrete optimization and (evolutionary) global optimization.,,,,Optimization,0.5.9,GPL (≥ 3),
AdapEnetClass,A class of adaptive elastic net methods for censored data,"The package provides new approaches to variable selection for censored data, based on AFT models optimized using regularized weighted least squares. Namely, a weighted elastic net, an adaptive elastic net, and two of their extensions by adding censoring observations as constraints into their model optimization frameworks.","imputeYn, glmnet, lars, R (≥ 2.14.2)",,,Survival,1.0,GPL-2,
AdaptFit,Adaptive Semiparametic Regression,"Based on the function ""spm"" of the SemiPar package fits semiparametric regression models with spatially adaptive penalized splines.","SemiPar, MASS, nlme, cluster",,,,0.2-2,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
AdaptFitOS,Adaptive Semiparametric Regression with Simultaneous Confidence Bands,"Based on the function ""asp"" of the AdaptFit package fits semiparametric regression models with spatially adaptive penalized splines and computes simultaneous confidence bands.","SemiPar, nlme, MASS, mgcv",splines,,,0.50,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
AdaptiveSparsity,Adaptive Sparsity Models,"Implements Figueiredo EM algorithm for adaptive sparsity (Jeffreys prior) (see Figueiredo, M.A.T.; , ""Adaptive sparseness for supervised learning,"" Pattern Analysis and Machine Intelligence, IEEE Transactions on , vol.25, no.9, pp. 1150- 1159, Sept. 2003) and Wong algorithm for adaptively sparse gaussian geometric models (see Wong, Eleanor, Suyash Awate, and P. Thomas Fletcher. ""Adaptive Sparsity in Gaussian Graphical Models."" In Proceedings of the 30th International Conference on Machine Learning (ICML-13), pp. 311-319. 2013.)","R (≥ 3.0.2), Rcpp (≥ 0.8.0)","MASS, Matrix",,,1.4,LGPL (≥ 3.0),
adaptivetau,Tau-leaping stochastic simulation,Implements adaptive tau leaping to approximate the trajectory of a continuous-time stochastic process as described by Cao et al. (2007) The Journal of Chemical Physics.  This package is based upon work supported by NSF DBI-0906041 and NIH K99-GM104158 to Philip Johnson and NIH R01-AI049334 to Rustom Antia.,R (≥ 2.10.1),,,DifferentialEquations,2.1,GPL (≥ 3),compiler
adaptMCMC,Implementation of a generic adaptive Monte Carlo Markov Chain sampler,This package provides an implementation of the generic adaptive Monte Carlo Markov chain sampler proposed by Vihola (2011).,"R (≥ 2.14.1), parallel, coda, Matrix",,,,1.1,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
adaptsmoFMRI,Adaptive Smoothing of FMRI Data,"This package contains R functions for estimating the blood oxygenation level dependent (BOLD) effect by using functional Magnetic Resonance Imaging (fMRI) data, based on adaptive Gauss Markov random fields, for real as well as simulated data. The implemented simulations make use of efficient Markov Chain Monte Carlo methods.","R (≥ 2.15.2), Matrix, coda, mvtnorm, MCMCpack, spatstat, parallel",,,,1.1,GPL-2,
adaptTest,Adaptive two-stage tests,"The functions defined in this program serve for implementing adaptive two-stage tests. Currently, four tests are included: Bauer and Koehne (1994), Lehmacher and Wassmer (1999), Vandemeulebroecke (2006), and the horizontal conditional error function. User-defined tests can also be implemented. Reference: Vandemeulebroecke, An investigation of two-stage tests, Statistica Sinica 2006.",lattice,,,ClinicalTrials,1.0,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
additivityTests,Additivity tests in the two way ANOVA with single sub-class numbers,"Implementation of the Tukey, Mandel, Johnson-Graybill, LBI, Tusell and modified Tukey non-additivity tests.",,knitr,,,1.1-2,GPL-3,
ade4,Analysis of Ecological Data : Exploratory and Euclidean methods in Environmental sciences,Multivariate data analysis and graphical display.,R (≥ 2.10),"waveslim, splancs, MASS, maptools, spdep, pixmap, ape, deldir, ade4TkGUI",,"Environmetrics, Graphics, Multivariate, Psychometrics, Spatial",1.6-2,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
ade4TkGUI,ade4 Tcl/Tk Graphical User Interface,a Tcl/Tk GUI for some basic functions in the ade4 package,"ade4 (≥ 1.4-3), tcltk","tkrplot, pixmap",,,0.2-6,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
adegenet,adegenet: an R package for the exploratory analysis of genetic and genomic data,Classes and functions for genetic data analysis within the multivariate framework.,"R (≥ 2.14), methods, ade4","genetics, spdep, tripack, pegas, seqinr, adehabitat, parallel, akima, maps, splancs, hierfstat","utils, stats, MASS, igraph, ape, shiny, ggplot2",Genetics,1.4-2,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
adehabitat,Analysis of habitat selection by animals,A collection of tools for the analysis of habitat selection by animals,"R (≥ 2.10.0), ade4, tkrplot, shapefiles, sp","spatstat, MASS, CircStats",,"Environmetrics, Spatial",1.8.14,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
adehabitatHR,Home range Estimation,A collection of tools for the estimation of animals home range,"R (≥ 3.0.1), sp, methods, deldir, ade4, adehabitatMA, adehabitatLT","maptools, tkrplot, MASS, rgeos",,Spatial,0.4.11,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
adehabitatHS,Analysis of habitat selection by animals,A collection of tools for the analysis of habitat selection,"R (≥ 3.0.1), sp, methods, ade4, adehabitatMA, adehabitatHR","maptools, tkrplot, MASS, rgeos",,Spatial,0.3.9,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
adehabitatLT,Analysis of animal movements,A collection of tools for the analysis of animal movements,"R (≥ 2.10.0), sp, methods, ade4, adehabitatMA, CircStats","maptools, tkrplot, MASS",,"Spatial, SpatioTemporal",0.3.15,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
adehabitatMA,Tools to Deal with Raster Maps,A collection of tools to deal with raster maps,"R (≥ 2.10.0), sp, methods","maptools, tkrplot, MASS",,Spatial,0.3.8,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
adephylo,adephylo: exploratory analyses for the phylogenetic comparative method,"Multivariate tools to analyze comparative data, i.e. a phylogeny and some traits measured for each taxa.","methods, ade4",,"phylobase, ape, adegenet",Phylogenetics,1.1-6,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
AdequacyModel,Adequacy of probabilistic models and generation of pseudo-random numbers,"This package provides some useful functions for calculating quality measures for adjustment, including statistics Kolmogorov-Smirnov, Cramer-von Mises and Anderson-Darling. These statistics are often used to compare models not equipped. Also provided are other measures of fitness, such as AIC, CAIC, BIC and HQIC. The package also provides functions for generating pseudo-random number of random variables that follow the following probability distributions: Kumaraswamy Birnbaum-Saunders, Kumaraswamy Pareto, Exponentiated Weibull and Kumaraswamy Weibull.",,,,,1.0.8,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
ADGofTest,Anderson-Darling GoF test,"Anderson-Darling GoF test with p-value calculation based on Marsaglia's 2004 paper ""Evaluating the Anderson-Darling Distribution""",,,,,0.3,GPL-2 | GPL-3 [expanded from: GPL],
adhoc,calculate ad hoc distance thresholds for DNA barcoding identification,An ad hoc distance threshold can be calculated for each particular reference library of DNA barcodes. Specimen identification at this ad hoc distance threshold (using the best close match method) will produce identifications with an estimated relative error probability that can be fixed by the user (e.g. 5%),"R (≥ 2.15), spider, ape, polynom",,,,1.0,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
adimpro,Adaptive Smoothing of Digital Images,This package implements tools for manipulation of digital images and the Propagation Separation approach by Polzehl and Spokoiny (2006) for smoothing digital images.,"R (≥ 2.12.0), grDevices",,,MedicalImaging,0.7.8,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
adlift,An adaptive lifting scheme algorithm,Adaptive Wavelet transforms for signal denoising,EbayesThresh,,,,1.3-2,GPL-2 | GPL-3 [expanded from: GPL],
ADM3,An Interpretation of the ADM method - automated detection algorithm,Robust change point detection using ADM3 algorithm.,,,,,1.3,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
AdMit,Adaptive Mixture of Student-t distributions,This package provides functions to perform the fitting of an adaptive mixture of Student-t distributions to a target density through its kernel function. The mixture approximation can then be used as the importance density in importance sampling or as the candidate density in the Metropolis-Hastings algorithm to obtain quantities of interest for the target density itself.,mvtnorm,coda,,"Bayesian, Cluster, Distributions",2.0.1,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
ads,Spatial point patterns analysis,"Perform first- and second-order multi-scale analyses derived from Ripley K-function, for univariate, multivariate and marked mapped data in rectangular, circular or irregular shaped sampling windows, with tests of statistical significance based on Monte Carlo simulations.",,,"ade4, spatstat",Spatial,1.5-2.1,GPL-2,
AER,Applied Econometrics with R,"Functions, data sets, examples, demos, and vignettes for the book Christian Kleiber and Achim Zeileis (2008), Applied Econometrics with R, Springer-Verlag, New York. ISBN 978-0-387-77316-2. (See the vignette for a package overview.)","R (≥ 2.13.0), car (≥ 2.0-1), lmtest, sandwich, survival, zoo","boot, dynlm, effects, foreign, ineq, KernSmooth, lattice, MASS, mlogit, nlme, nnet, np, plm, pscl, quantreg, ROCR, sampleSelection, scatterplot3d, strucchange, systemfit, rgl, truncreg, tseries, urca","stats, Formula (≥ 0.2-0)","Econometrics, Survival, TimeSeries",1.2-2,GPL-2,
afex,Analysis of Factorial Experiments,"Provides convenience functions for analyzing factorial experiments using ANOVA or mixed-models. ez.glm() and aov.car() allow convenient calculation of between, within (i.e., repeated-measures), or mixed between-within (i.e., split-plot) ANOVAs for data in the long format (i.e., one observation per row) wrapping car::Anova() (aggregating more then one observation per individual and cell of the design), per default returning a print ready ANOVA table. Function mixed() fits a mixed model using lme4::lmer() and computes p-values for all effects in the model using either the Kenward-Roger approximation of degrees of freedom (LMM only), parametric bootstrap (LMMs and GLMMs) or likelihood ratio tests (LMMs and GLMMs). afex uses type 3 sums of squares as default (imitating commercial statistical software) and sets the default contrasts to contr.sum. Furthermore, compare.2.vectors() conveniently compares two vectors using a variety of tests.","R (≥ 3.0.0), car, lme4 (≥ 1.0.5), pbkrtest (≥ 0.3-6), reshape2","ascii, xtable, parallel","stringr, coin, Matrix",,0.9-109,GPL (≥ 3),
AFLPsim,Hybrid simulation and genome scan for dominant markers,This package is developed in the Plant Reproductive Biology Lab (RNM-214) - University of Seville. It contains hybrid simulation functions for dominant genetic data. It also provides several genome scan methods.,R (≥ 2.15.0),,"adegenet, introgress",,0.3-3,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
aftgee,Accelerated Failure Time Model with Generalized Estimating Equations,"This package features both rank-based estimates and least square estimates to the Accelerated Failure Time (AFT) model. For rank-based estimation, it provides approaches that include the computationally efficient Gehan's weight and the general's weight such as the logrank weight. For the least square estimation, the estimating equation is solved  with Generalized Estimating Equations (GEE). Moreover, in multivariate cases, the dependence working correlation structure can be specified in GEE's setting.",,copula,"MASS, BB, survival, geepack",,0.4-3,GPL (≥ 3),
AGD,Analysis of Growth Data,"Tools for NIHES course EP18 'Analysis of Growth Data', May 22-23 2012, Rotterdam.","R (≥ 2.10.0), gamlss",,,,0.30,GPL-2 | GPL-3,
agop,Aggregation Operators and Preordered Sets,"Tools supporting multi-criteria decision making, including variable number of criteria, by means of aggregation operators and preordered sets. Possible applications include, but are not limited to, scientometrics and bibliometrics.","R (≥ 2.12.0), base, stats, grDevices, graphics, Matrix, igraph",testthat,,,0.1-3,LGPL (≥ 3),
agRee,Various Methods for Measuring Agreement,Plots for visualization and point and interval estimates for different metrics of agreement.,"R (≥ 2.15.0), miscF (≥ 0.1-2)",,,,0.2-2,GPL-2 | GPL-3 [expanded from: GPL],
Agreement,Statistical Tools for Measuring Agreement,"This package computes several statistics for measuring agreement, for example, mean square deviation (MSD), total deviation index (TDI) or concordance correlation coefficient (CCC). It can be used for both continuous data and categorical data for multiple raters and multiple readings cases.","R (≥ 2.1.0), R2HTML",,,,0.8-1,GPL-2,
agricolae,Statistical Procedures for Agricultural Research,"Agricolae was presented in the thesis ""A statistical analysis tool for agricultural research"" to obtain the degree of Master on science, mention Systems Engineering, Faculty of Industrial and Systems Engineering, National Engineering University (UNI), Lima-Peru. Original idea, support and data sets came from CIP (International Potato Center). Agricolae offers extensive functionality on experimental design especially for agricultural and plant breeding experiments, which can also be useful for other purposes. It supports planning of lattice, Alpha, Cyclic, Complete Block, Latin Square, Graeco-Latin Squares, augmented block, factorial, split and strip plot designs. There are also various analysis facilities for experimental data, e.g. treatment comparison procedures and several non-parametric tests comparison, biodiversity indexes and consensus cluster.",,"akima, klaR, MASS, nlme, cluster",,"Distributions, ExperimentalDesign",1.1-8,GPL-2 | GPL-3 [expanded from: GPL],
agridat,Agricultural datasets,Datasets from books and papers related to agriculture. Example analyses included.,"grid, lattice, reshape2","agricolae, car, coin, corrgram, equivalence, FrF2, gam, gstat, HH, latticeExtra, lme4 (≥ 1.0), mapproj, maps, MASS, MCMCglmm, mgcv, nlme, pls, sp, survival, vcd",,,1.8,GPL-2,
agrmt,Calculate agreement,"This package calculates agreement or consensus in ordered rating scales. It implements van der Eijk's (2001) measure of agreement A, which can be used to describe agreement, consensus, or polarization among respondents. It also implements measures of consensus (dispersion) by Leik, Tatsle and Wierman, Blair and Lacy, Kvalseth, and Berry and Mielke. Furthermore, an implementation of Galtungs AJUS-system is provided to classify distributions, as well as a function to identify the position of multiple modes.",,,,,1.31,GPL-3,
AGSDest,Estimation in adaptive group sequential trials,Estimation in adaptive group sequential trials,ldbounds,,,ClinicalTrials,2.1,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
ahaz,Regularization for semiparametric additive hazards regression,Computationally efficient procedures for regularized estimation with the semiparametric additive hazards regression model.,"R (≥ 2.10), survival, Matrix",,,"MachineLearning, Survival",1.14,GPL-2,
AICcmodavg,Model selection and multimodel inference based on (Q)AIC(c),"This package includes functions to create model selection tables based on Akaike's information criterion (AIC) and the second-order AIC (AICc), as well as their quasi-likelihood counterparts (QAIC, QAICc).  Tables are printed with delta AIC and Akaike weights.  The package also features functions to conduct classic model averaging (multimodel inference) for a given parameter of interest and predicted values, as well as a shrinkage version of model averaging parameter estimates.  Other handy functions enable the computation of relative variable importance, evidence ratios, and confidence sets for the best model.  The present version works with Cox regression ('coxph' class), linear models ('lm' class), generalized linear models ('glm' class), linear models fit by generalized least squares ('gls' class), linear mixed models ('lme' class), generalized linear mixed models ('mer' and 'merMod' classes), multinomial and ordinal logistic regressions ('multinom', 'polr', 'clm', and 'clmm' classes), robust regression models ('rlm' class), nonlinear models ('nls' class), and nonlinear mixed models ('nlme' class).  The package also supports various models incorporating detection probabilities such as single-season occupancy models ('unmarkedFitOccu' and 'unmarkedFitOccuFP classes), multiple-season occupancy models ('unmarkedFitColExt' class), single-season heterogeneity models ('unmarkedFitOccuRN' class), single-season and multiple-season N-mixture models for repeated counts ('unmarkedFitPCount' and 'unmarkedFitPCO' classes, respectively), and distance sampling models ('unmarkedFitDS' and 'unmarkedFitGDS' classes). Some functions also allow the creation of model selection tables for Bayesian models of the 'bugs' and 'rjags' classes.","methods, stats","lme4, MASS, Matrix, nlme, nnet, ordinal, R2jags, R2OpenBUGS, R2WinBUGS, stats4, survival, unmarked",,,1.35,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
AID,An R Package to Estimate Box-Cox Power Transformation Parameter,Includes a function to estimate the power transformation parameter and some datasets,"MASS, tseries, nortest, stats",,,,1.4,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
aidar,Tools for reading AIDA (http://aida.freehep.org/) files into R,Read objects from the AIDA file and make them available as dataframes in R,XML,testthat,,,1.0.0,LGPL-2 | LGPL-2.1 | LGPL-3 [expanded from: LGPL (≥ 2)],
AIM,AIM: adaptive index model,"R functions for adaptively constructing index models for continuous, binary and survival outcomes. Implementation requires loading R-pacakge ""survival""",survival,,survival,Survival,1.01,LGPL-2,
akima,Interpolation of irregularly spaced data,Linear or cubic spline interpolation for irregular gridded data,R (≥ 2.0.0),,,"NumericalMathematics, Spatial",0.5-11,ACM | file LICENSE,
akmeans,Adaptive Kmeans algorithm based on threshold,"Adaptive K-means algorithm with various threshold settings. It support two distance metric: Euclidean distance, Cosine distance (1 - cosine similarity) In version 1.1, it contains one more threshold condition.",,,,,1.1,GPL-2,
